nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
1,0,-1,0,-0.000632207,0,0.007178157,0.001614758,0.004282051,-0.001667058,0.252466649,40.37951279
2,0,-0.999499977,0,-0.00034978,0.019538889,0.005579707,0.001414972,0.003436725,-0.001227098,0,34.93722153
3,1.58226E-18,-0.99899292,0,0.000421396,0.036030501,0.003335501,0.001105473,0.002216931,-0.000646505,0,35.11972427
4,1.57209E-18,-0.998478591,0,0.001553552,0.056323949,0.002537466,0.000962819,0.00173957,-0.000491011,0,41.20042038
5,0,-0.997956991,0,0.003016952,0.077625647,0.002448488,0.000940835,0.001659588,-0.000508487,0,40.7092514
6,0,-0.997428,0,0.004814011,0.098565042,0.002740325,0.000990405,0.001798505,-0.000611098,0,38.56100464
7,0,-0.996891499,0,0.006888541,0.118452773,0.003224835,0.001072377,0.002048643,-0.000753257,0,35.65351105
8,0,-0.996347427,0,0.009162545,0.136991799,0.003779918,0.001161914,0.00234086,-0.000906025,0,32.5614357
9,0,-0.995795608,0,0.01156778,0.154130235,0.004332427,0.001246621,0.002634396,-0.001052549,0,29.61624527
10,1.40946E-18,-0.99523598,-6.93889E-18,0.014050113,0.169946045,0.004846806,0.001322336,0.002909449,-0.001185323,0,26.95524979
11,0,-0.994668484,0,0.016571091,0.184567601,0.005310795,0.001388836,0.003158951,-0.001302478,0,24.60858536
12,1.00289E-18,-0.994092941,-6.93889E-18,0.019104507,0.198131964,0.005723696,0.001447286,0.003382137,-0.001404775,0,22.55686378
13,9.75782E-19,-0.993509233,-1.04083E-17,0.021632833,0.210766837,0.006089475,0.001499105,0.003580824,-0.001493895,0,20.7627449
14,0,-0.992917359,-6.93889E-18,0.024144627,0.222585291,0.006413481,0.001545572,0.003757641,-0.001571672,0,19.19120979
15,0,-0.992317081,0,0.026632618,0.233684987,0.006701054,0.001587736,0.003915261,-0.001639788,0,17.8098259
16,0,-0.991708338,0,0.029092399,0.244149655,0.006957021,0.001626428,0.004056128,-0.001699686,0,16.58880806
17,0,-0.991091013,0,0.031521607,0.25405097,0.007185597,0.001662259,0.004182403,-0.001752584,0,15.50512123
18,0,-0.990464985,0,0.033919327,0.263450563,0.007390468,0.001695537,0.004296025,-0.001799521,0,14.53824329
19,0,-0.989830196,0,0.036285535,0.272401065,0.007574806,0.001726405,0.004398691,-0.001841373,0,13.67184639
20,0,-0.989186406,0,0.038620695,0.280947745,0.007741258,0.001755032,0.004491807,-0.001878853,0,12.89165115
21,0,-0.988533616,0,0.040925607,0.289129883,0.007892052,0.001781593,0.00457655,-0.001912552,0,12.18563461
22,6.50521E-19,-0.987871647,0,0.043201253,0.296981543,0.008029067,0.001806258,0.004653909,-0.001942962,0,11.54481983
23,0,-0.987200379,0,0.04544875,0.304532468,0.008153899,0.001829185,0.004724722,-0.001970492,0,10.96066475
24,0,-0.986519694,0,0.04766931,0.311809003,0.008267906,0.001850521,0.004789703,-0.001995491,0,10.42636299
25,0,-0.985829473,0,0.049864162,0.318834126,0.00837226,0.001870401,0.004849464,-0.002018254,0,9.936328888
26,0,-0.985129535,0,0.052034564,0.32562846,0.008467969,0.001888946,0.004904535,-0.002039033,0,9.485208511
27,0,-0.984419823,0,0.05418174,0.332210243,0.008555898,0.001906268,0.004955369,-0.002058044,0,9.068475723
