nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
         1, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00,-4.745471524E-04, 0.000000000E+00, 6.712823641E-03, 1.510079484E-03, 4.004462156E-03,-1.558989170E-03, 5.051280260E-01, 7.355777740E+01
         2, 0.000000000E+00,-9.994986653E-01, 0.000000000E+00, 8.479371900E-05, 3.531223908E-02, 5.161670502E-03, 1.317926333E-03, 3.178345039E-03,-1.147507573E-03, 0.000000000E+00, 6.318241119E+01
         3, 4.167402100E-19,-9.989221692E-01, 0.000000000E+00, 2.051390475E-03, 6.724219024E-02, 3.190449206E-03, 1.065684715E-03, 2.099551028E-03,-6.641126238E-04, 0.000000000E+00, 5.726470184E+01
         4, 1.104530963E-18,-9.982591867E-01, 0.000000000E+00, 5.637396127E-03, 1.074599251E-01, 3.337504342E-03, 1.083668321E-03, 2.131596673E-03,-7.643131539E-04, 0.000000000E+00, 5.910186768E+01
         5, 0.000000000E+00,-9.974967241E-01, 0.000000000E+00, 1.060129516E-02, 1.474064589E-01, 4.228727892E-03, 1.209498616E-03, 2.587868366E-03,-1.018209849E-03, 0.000000000E+00, 4.785329437E+01
         6, 1.626303259E-18,-9.966199398E-01, 0.000000000E+00, 1.650824025E-02, 1.840148270E-01, 5.181481130E-03, 1.335850684E-03, 3.093129024E-03,-1.262691105E-03, 0.000000000E+00, 3.744055176E+01
         7, 0.000000000E+00,-9.956116080E-01, 0.000000000E+00, 2.302542329E-02, 2.171650678E-01, 5.968000274E-03, 1.439729473E-03, 3.518402344E-03,-1.452925382E-03, 0.000000000E+00, 2.950011826E+01
         8, 0.000000000E+00,-9.944520593E-01, 3.469446952E-18, 2.995519899E-02, 2.474515438E-01, 6.577440538E-03, 1.526372507E-03, 3.853085451E-03,-1.593729947E-03, 0.000000000E+00, 2.356897163E+01
         9, 0.000000000E+00,-9.931185246E-01, 0.000000000E+00, 3.719497845E-02, 2.754786611E-01, 7.044880651E-03, 1.601097872E-03, 4.113632254E-03,-1.697900472E-03, 0.000000000E+00, 1.908487320E+01
        10, 0.000000000E+00,-9.915850163E-01, 0.000000000E+00, 4.470180348E-02, 3.017437756E-01, 7.404838689E-03, 1.664439449E-03, 4.317725077E-03,-1.775855897E-03, 0.000000000E+00, 1.564274311E+01
        11, 0.000000000E+00,-9.898214340E-01,-3.469446952E-18, 5.246471614E-02, 3.266433179E-01, 7.683215663E-03, 1.717180246E-03, 4.478530958E-03,-1.834828290E-03, 0.000000000E+00, 1.296334457E+01
        12, 0.000000000E+00,-9.877933860E-01,-3.469446952E-18, 6.049317494E-02, 3.505009115E-01, 7.898537442E-03, 1.760676154E-03, 4.605298396E-03,-1.879801624E-03, 0.000000000E+00, 1.085290337E+01
        13, 0.000000000E+00,-9.854610562E-01, 0.000000000E+00, 6.881515682E-02, 3.735970557E-01, 8.063882589E-03, 1.796274330E-03, 4.704526160E-03,-1.914182678E-03, 0.000000000E+00, 9.167692184E+00
        14, 0.000000000E+00,-9.828084111E-01,-6.938893904E-18, 7.739055157E-02, 3.959843814E-01, 8.187371306E-03, 1.824922976E-03, 4.780151881E-03,-1.940041780E-03, 0.000000000E+00, 7.810762405E+00
        15, 0.000000000E+00,-9.801557660E-01, 0.000000000E+00, 8.522169292E-02, 4.153708816E-01, 8.267331868E-03, 1.845394610E-03, 4.830252379E-03,-1.957128756E-03, 0.000000000E+00, 6.816097260E+00
        16, 0.000000000E+00,-9.775031209E-01, 0.000000000E+00, 9.243215621E-02, 4.324374795E-01, 8.318550885E-03, 1.860434189E-03, 4.863237031E-03,-1.968480647E-03, 0.000000000E+00, 6.049456596E+00
        17, 0.000000000E+00,-9.748504162E-01, 0.000000000E+00, 9.912049025E-02, 4.476767778E-01, 8.350124583E-03, 1.871809363E-03, 4.884330556E-03,-1.975985477E-03, 0.000000000E+00, 5.438940048E+00
        18, 0.000000000E+00,-9.721977711E-01, 0.000000000E+00, 1.053669378E-01, 4.614483714E-01, 8.367845789E-03, 1.880684751E-03, 4.896876868E-03,-1.980855130E-03, 0.000000000E+00, 4.943252563E+00
        19, 0.000000000E+00,-9.695451260E-01, 0.000000000E+00, 1.112357751E-01, 4.740186930E-01, 8.375494741E-03, 1.887848834E-03, 4.903085995E-03,-1.983860973E-03, 0.000000000E+00, 4.533501625E+00
        20, 1.301042607E-18,-9.668924809E-01, 0.000000000E+00, 1.167782545E-01, 4.855884314E-01, 8.375589736E-03, 1.893850043E-03, 4.904455505E-03,-1.985492650E-03, 0.000000000E+00, 4.189123154E+00
        21, 0.000000000E+00,-9.642398357E-01, 0.000000000E+00, 1.220355183E-01, 4.963117838E-01, 8.369876072E-03, 1.899063936E-03, 4.902040586E-03,-1.986070070E-03, 0.000000000E+00, 3.895478487E+00
        22, 0.000000000E+00,-9.615871906E-01, 0.000000000E+00, 1.270410568E-01, 5.063092113E-01, 8.359648287E-03, 1.903651282E-03, 4.896658007E-03,-1.985821407E-03, 0.000000000E+00, 3.641950607E+00
        23, 1.084202172E-18,-9.589344859E-01, 0.000000000E+00, 1.318223178E-01, 5.156764984E-01, 8.345890790E-03, 1.907642232E-03, 4.888955504E-03,-1.984915696E-03, 0.000000000E+00, 3.420536518E+00
        24, 0.000000000E+00,-9.562818408E-01, 0.000000000E+00, 1.364021599E-01, 5.244913101E-01, 8.329339325E-03, 1.911076019E-03, 4.879415967E-03,-1.983474474E-03, 0.000000000E+00, 3.225309849E+00
        25, 0.000000000E+00,-9.536291957E-01, 0.000000000E+00, 1.407996565E-01, 5.328169465E-01, 8.310545236E-03, 1.913994318E-03, 4.868405871E-03,-1.981585985E-03, 0.000000000E+00, 3.051790714E+00
        26, 6.505213035E-19,-9.509765506E-01, 0.000000000E+00, 1.450311244E-01, 5.407063961E-01, 8.289936930E-03, 1.916437992E-03, 4.856206942E-03,-1.979319379E-03, 0.000000000E+00, 2.896440983E+00
        27, 0.000000000E+00,-9.483239055E-01, 0.000000000E+00, 1.491106004E-01, 5.482041240E-01, 8.267847821E-03, 1.918446156E-03, 4.843041766E-03,-1.976728439E-03, 0.000000000E+00, 2.756522179E+00
        28, 0.000000000E+00,-9.456712604E-01, 0.000000000E+00, 1.530503035E-01, 5.553481579E-01, 8.244544268E-03, 1.920054550E-03, 4.829085898E-03,-1.973856008E-03, 0.000000000E+00, 2.629777670E+00
        29, 0.000000000E+00,-9.430186152E-01, 0.000000000E+00, 1.568609476E-01, 5.621711612E-01, 8.220240474E-03, 1.921297051E-03, 4.814482294E-03,-1.970739104E-03, 0.000000000E+00, 2.514418602E+00
        30,-6.505213035E-19,-9.403659105E-01, 0.000000000E+00, 1.605518460E-01, 5.687011480E-01, 8.195113391E-03, 1.922204276E-03, 4.799345508E-03,-1.967407763E-03, 0.000000000E+00, 2.408960342E+00
        31, 0.000000000E+00,-9.377132654E-01, 0.000000000E+00, 1.641314924E-01, 5.749628544E-01, 8.169304579E-03, 1.922803698E-03, 4.783769604E-03,-1.963887364E-03, 0.000000000E+00, 2.312173367E+00
        32, 0.000000000E+00,-9.350606203E-01, 0.000000000E+00, 1.676074564E-01, 5.809780955E-01, 8.142931387E-03, 1.923120115E-03, 4.767832346E-03,-1.960199326E-03, 0.000000000E+00, 2.223039627E+00
        33, 8.673617380E-19,-9.324079752E-01, 0.000000000E+00, 1.709863842E-01, 5.867658854E-01, 8.116094396E-03, 1.923176227E-03, 4.751598462E-03,-1.956363441E-03, 0.000000000E+00, 2.140655756E+00
        34, 0.000000000E+00,-9.297553301E-01, 0.000000000E+00, 1.742742956E-01, 5.923429728E-01, 8.088872768E-03, 1.922992175E-03, 4.735121969E-03,-1.952394960E-03, 0.000000000E+00, 2.064293146E+00
        35, 0.000000000E+00,-9.271026850E-01, 0.000000000E+00, 1.774767637E-01, 5.977247357E-01, 8.061339147E-03, 1.922586467E-03, 4.718447104E-03,-1.948308432E-03, 0.000000000E+00, 1.993355036E+00
        36, 0.000000000E+00,-9.244500399E-01,-1.040834086E-17, 1.805988848E-01, 6.029248238E-01, 8.033547550E-03, 1.921975520E-03, 4.701612517E-03,-1.944115153E-03, 0.000000000E+00, 1.927281857E+00
        37, 0.000000000E+00,-9.217973351E-01, 0.000000000E+00, 1.836451143E-01, 6.079552770E-01, 8.005546406E-03, 1.921173651E-03, 4.684648477E-03,-1.939825481E-03, 0.000000000E+00, 1.865481377E+00
        38, 0.000000000E+00,-9.191446900E-01, 0.000000000E+00, 1.866195351E-01, 6.128269434E-01, 7.977379486E-03, 1.920194481E-03, 4.667582922E-03,-1.935448730E-03, 0.000000000E+00, 1.807593346E+00
        39, 1.301042607E-18,-9.164920449E-01, 0.000000000E+00, 1.895260215E-01, 6.175498962E-01, 7.949078456E-03, 1.919050002E-03, 4.650438204E-03,-1.930993050E-03, 0.000000000E+00, 1.753331900E+00
        40, 8.673617380E-19,-9.138393998E-01, 0.000000000E+00, 1.923681200E-01, 6.221332550E-01, 7.920676842E-03, 1.917751506E-03, 4.633234814E-03,-1.926465426E-03, 0.000000000E+00, 1.702327132E+00
        41, 0.000000000E+00,-9.111867547E-01, 0.000000000E+00, 1.951490641E-01, 6.265852451E-01, 7.892195135E-03, 1.916308538E-03, 4.615987651E-03,-1.921871910E-03, 0.000000000E+00, 1.654297590E+00
        42, 0.000000000E+00,-9.085341096E-01, 0.000000000E+00, 1.978718340E-01, 6.309133768E-01, 7.863658480E-03, 1.914730296E-03, 4.598712549E-03,-1.917217858E-03, 0.000000000E+00, 1.608947992E+00
        43, 0.000000000E+00,-9.058814049E-01, 0.000000000E+00, 2.005390823E-01, 6.351244450E-01, 7.835082710E-03, 1.913025044E-03, 4.581420217E-03,-1.912508276E-03, 0.000000000E+00, 1.566045046E+00
