nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
         1, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00,-3.912853135E-04, 0.000000000E+00, 5.653476808E-03, 1.271774760E-03, 3.372519976E-03,-1.312965876E-03, 5.122615695E-01, 1.777054596E+02
         2,-1.948175779E-19,-9.998071790E-01, 0.000000000E+00, 8.653187251E-05, 3.279663622E-02, 4.352732562E-03, 1.111374702E-03, 2.680438804E-03,-9.676843183E-04, 0.000000000E+00, 1.524375916E+02
         3, 0.000000000E+00,-9.995853901E-01, 0.000000000E+00, 1.766391797E-03, 6.234237179E-02, 2.713697962E-03, 9.030835936E-04, 1.784722554E-03,-5.654270062E-04, 0.000000000E+00, 1.374916687E+02
         4, 1.253608762E-19,-9.993304014E-01, 0.000000000E+00, 4.817733075E-03, 9.939064085E-02, 2.865943825E-03, 9.220251231E-04, 1.828630571E-03,-6.559309550E-04, 0.000000000E+00, 1.412059937E+02
         5, 0.000000000E+00,-9.990371466E-01, 0.000000000E+00, 9.016837925E-03, 1.359981894E-01, 3.633400658E-03, 1.028911211E-03, 2.223707503E-03,-8.726259694E-04, 0.000000000E+00, 1.137661285E+02
         6, 1.280713816E-18,-9.986998439E-01, 0.000000000E+00, 1.398553513E-02, 1.694166362E-01, 4.440102726E-03, 1.134979771E-03, 2.653174801E-03,-1.078590751E-03, 0.000000000E+00, 8.871827698E+01
         7, 0.000000000E+00,-9.983119965E-01, 0.000000000E+00, 1.944114268E-02, 1.995931864E-01, 5.101951770E-03, 1.222701510E-03, 3.012340749E-03,-1.238141558E-03, 0.000000000E+00, 6.972450256E+01
         8, 1.273937553E-18,-9.978659749E-01, 0.000000000E+00, 2.521768957E-02, 2.270954549E-01, 5.614247173E-03, 1.297463197E-03, 3.294622060E-03,-1.356308581E-03, 0.000000000E+00, 5.557661057E+01
         9, 1.612750732E-18,-9.973530173E-01, 0.000000000E+00, 3.122935444E-02, 2.524854541E-01, 6.008427590E-03, 1.362788957E-03, 3.515182529E-03,-1.444038469E-03, 0.000000000E+00, 4.489481735E+01
        10, 0.000000000E+00,-9.967631698E-01, 0.000000000E+00, 3.743937612E-02, 2.762194574E-01, 6.314580794E-03, 1.418062951E-03, 3.689759877E-03,-1.510142814E-03, 0.000000000E+00, 3.670230865E+01
        11, 0.000000000E+00,-9.960848093E-01, 0.000000000E+00, 4.383589327E-02, 2.986569703E-01, 6.554620340E-03, 1.464310917E-03, 3.829454770E-03,-1.560618286E-03, 0.000000000E+00, 3.032742500E+01
        12, 0.000000000E+00,-9.953047037E-01, 0.000000000E+00, 5.042127520E-02, 3.200839758E-01, 6.744396873E-03, 1.502864296E-03, 3.942179494E-03,-1.599674579E-03, 0.000000000E+00, 2.529826736E+01
        13, 0.000000000E+00,-9.944075942E-01, 0.000000000E+00, 5.720766634E-02, 3.407317400E-01, 6.895438768E-03, 1.534969080E-03, 4.033654463E-03,-1.630317187E-03, 0.000000000E+00, 2.128498459E+01
        14, 0.000000000E+00,-9.933758974E-01, 0.000000000E+00, 6.421618164E-02, 3.607959449E-01, 7.016070187E-03, 1.561663579E-03, 4.108026624E-03,-1.654657419E-03, 0.000000000E+00, 1.805117226E+01
        15, 8.402566837E-19,-9.921894670E-01, 0.000000000E+00, 7.147940248E-02, 3.804611564E-01, 7.112134248E-03, 1.583768870E-03, 4.168261774E-03,-1.674088184E-03, 0.000000000E+00, 1.540941238E+01
        16, 5.692061406E-19,-9.908726811E-01, 0.000000000E+00, 7.878522575E-02, 3.992652893E-01, 7.185427472E-03, 1.601384720E-03, 4.215030931E-03,-1.689030090E-03, 0.000000000E+00, 1.328249550E+01
        17, 0.000000000E+00,-9.895558953E-01, 0.000000000E+00, 8.545853198E-02, 4.156952202E-01, 7.235807832E-03, 1.614158973E-03, 4.247819073E-03,-1.699410612E-03, 0.000000000E+00, 1.168540955E+01
