nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
1,0,-1,0,-0.00067472,0,0.009274268,0.002086288,0.005532464,-0.00215386,0.501972139,23.44863701
2,8.80914E-19,-0.998160064,0,0.000100407,0.041352395,0.007101496,0.001813723,0.004371192,-0.001580097,0,20.18222427
3,5.42101E-19,-0.996044099,0,0.002835252,0.078946739,0.004294074,0.001448631,0.002826536,-0.00089638,0,18.42439651
4,0,-0.993610799,0,0.007856803,0.126628116,0.004393187,0.001460301,0.002804987,-0.001015619,0,19.16343307
5,0,-0.99081248,0,0.01487917,0.17440185,0.005541794,0.001630964,0.003381029,-0.00135386,0,15.65154934
6,0,-0.987594426,0,0.023322327,0.218497321,0.006806388,0.001806982,0.004042411,-0.001685926,0,12.32418346
7,0,-0.983893633,0,0.032721341,0.258653104,0.007854907,0.001949184,0.004602334,-0.001944554,0,9.761753082
8,5.42101E-19,-0.979637742,0,0.042806875,0.295550913,0.008659513,0.002061327,0.005039311,-0.002133852,0,7.843178272
9,0,-0.974743486,0,0.05345726,0.329977751,0.009262029,0.002152622,0.005371694,-0.002270909,0,6.386178017
10,0,-0.96943152,-3.46945E-18,0.064035609,0.36090225,0.009683955,0.00222514,0.00560794,-0.002365077,0,5.313418388
11,0,-0.964119554,0,0.073751278,0.387099028,0.00995788,0.002279914,0.005763469,-0.002425978,0,4.553404331
12,0,-0.958807588,0,0.082729712,0.409784675,0.010137353,0.002322441,0.005866747,-0.002466316,0,3.985459328
13,0,-0.953495681,0,0.091081969,0.429790437,0.010253976,0.002356107,0.005934789,-0.00249331,0,3.545208931
14,1.0842E-18,-0.948183715,0,0.098902039,0.447695613,0.010327155,0.002383097,0.005978159,-0.002511257,0,3.195160866
15,0,-0.942871749,0,0.106266215,0.463913918,0.010369297,0.002404887,0.006003698,-0.00252282,0,2.910498142
16,0,-0.937559784,0,0.113235831,0.478748679,0.010388648,0.002422523,0.006016009,-0.002529712,0,2.67447567
17,0,-0.932247877,0,0.119860217,0.492427737,0.010390857,0.002436765,0.006018288,-0.00253308,0,2.475498199
18,0,-0.926935911,0,0.126179427,0.505126,0.010379918,0.002448187,0.006012815,-0.002533714,0,2.305317402
19,0,-0.921623945,0,0.132226378,0.516980767,0.010358723,0.00245723,0.006001261,-0.00253218,0,2.157978535
20,0,-0.916311979,0,0.138028592,0.528101802,0.01032941,0.002464242,0.005984874,-0.002528895,0,2.029092312
21,0,-0.911000013,0,0.143609136,0.538578153,0.010293602,0.002469501,0.005964603,-0.002524169,0,1.915270329
22,0,-0.905688107,-1.38778E-17,0.148987666,0.548483074,0.010252542,0.002473234,0.005941187,-0.002518245,0,1.813979864
23,0,-0.900376141,-6.93889E-18,0.154181153,0.557877958,0.010207201,0.002475628,0.005915202,-0.002511311,0,1.723245144
