nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,turb-kinetic-energy,  viscosity-turb
         1, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00, 5.723337829E-02, 1.370576774E-05
         2, 0.000000000E+00,-9.994999766E-01, 0.000000000E+00, 8.562939614E-02, 6.719416706E-05
         3, 1.734723476E-18,-9.988999963E-01, 0.000000000E+00, 1.374971569E-01, 2.395357442E-04
         4, 2.222614454E-18,-9.981799722E-01, 0.000000000E+00, 1.714302599E-01, 5.167583004E-04
         5, 0.000000000E+00,-9.973160028E-01, 0.000000000E+00, 1.972779930E-01, 8.836847264E-04
         6, 2.032879073E-19,-9.962791800E-01,-6.938893904E-18, 2.198284864E-01, 1.351333689E-03
         7, 1.382357770E-18,-9.950350523E-01,-1.387778781E-17, 2.407934517E-01, 1.937455032E-03
         8, 1.301042607E-18,-9.935420752E-01,-2.081668171E-17, 2.610141337E-01, 2.664647065E-03
         9, 1.301042607E-18,-9.917504787E-01,-2.428612866E-17, 2.809951901E-01, 3.560312558E-03
        10, 0.000000000E+00,-9.896005392E-01,-1.387778781E-17, 3.010872602E-01, 4.656934179E-03
        11, 2.439454888E-18,-9.870206714E-01, 0.000000000E+00, 3.215659857E-01, 5.992360413E-03
        12, 7.047314121E-19,-9.839248061E-01,-6.938893904E-18, 3.426726162E-01, 7.609917782E-03
        13,-2.168404345E-19,-9.802097678E-01,-6.938893904E-18, 3.646872342E-01, 9.557103738E-03
        14, 5.421010862E-19,-9.761842489E-01,-3.469446952E-18, 3.857325912E-01, 1.165962964E-02
        15, 2.168404345E-19,-9.721587300E-01,-1.387778781E-17, 4.046118855E-01, 1.374419499E-02
        16, 1.734723476E-18,-9.681332707E-01,-6.938893904E-18, 4.218302965E-01, 1.580444910E-02
        17, 0.000000000E+00,-9.641077518E-01,-6.938893904E-18, 4.377489388E-01, 1.783623174E-02
        18, 4.336808690E-19,-9.600822330E-01,-6.938893904E-18, 4.526149035E-01, 1.983662695E-02
        19, 6.505213035E-19,-9.560567141E-01,-6.938893904E-18, 4.666053057E-01, 2.180362493E-02
        20,-6.505213035E-19,-9.520312548E-01,-1.387778781E-17, 4.798516035E-01, 2.373586968E-02
        21,-6.505213035E-19,-9.480057359E-01,-1.734723476E-17, 4.924542308E-01, 2.563252114E-02
        22, 8.673617380E-19,-9.439802170E-01,-1.734723476E-17, 5.044917464E-01, 2.749310061E-02
        23, 2.168404345E-18,-9.399547577E-01,-1.387778781E-17, 5.160267353E-01, 2.931740880E-02
        24, 1.517883041E-18,-9.359292388E-01,-1.040834086E-17, 5.271093845E-01, 3.110544011E-02
        25,-4.336808690E-19,-9.319037199E-01,-6.938893904E-18, 5.377813578E-01, 3.285735101E-02
        26, 2.168404345E-19,-9.278782010E-01,-1.387778781E-17, 5.480768681E-01, 3.457342833E-02
        27, 1.084202172E-18,-9.238527417E-01,-1.734723476E-17, 5.580248833E-01, 3.625405580E-02
        28, 4.336808690E-19,-9.198272228E-01,-2.081668171E-17, 5.676496029E-01, 3.789965063E-02
        29, 2.602085214E-18,-9.158017039E-01,-2.081668171E-17, 5.769721270E-01, 3.951069713E-02
