nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,turb-kinetic-energy,  viscosity-turb
         1, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00, 4.899462219E-04, 2.199356963E-08
         2, 0.000000000E+00,-9.994999766E-01, 0.000000000E+00, 2.914941637E-03, 5.112228223E-07
         3, 1.734723476E-18,-9.988999963E-01, 0.000000000E+00, 1.722263359E-02, 8.158943274E-06
         4, 2.222614454E-18,-9.981799722E-01, 0.000000000E+00, 5.511001498E-02, 5.543550651E-05
         5, 0.000000000E+00,-9.973160028E-01, 0.000000000E+00, 1.097625047E-01, 1.953522442E-04
         6, 2.032879073E-19,-9.962791800E-01,-6.938893904E-18, 1.624533683E-01, 4.540184746E-04
         7, 1.382357770E-18,-9.950350523E-01,-1.387778781E-17, 2.088771909E-01, 8.346030954E-04
         8, 1.301042607E-18,-9.935420752E-01,-2.081668171E-17, 2.522190213E-01, 1.354087144E-03
         9, 1.301042607E-18,-9.917504787E-01,-2.428612866E-17, 2.944427729E-01, 2.042854903E-03
        10, 0.000000000E+00,-9.896005392E-01,-1.387778781E-17, 3.366450965E-01, 2.943708794E-03
        11, 2.439454888E-18,-9.870206714E-01, 0.000000000E+00, 3.794938326E-01, 4.114384297E-03
        12, 7.047314121E-19,-9.839248061E-01,-6.938893904E-18, 4.234123230E-01, 5.632299464E-03
        13,-2.168404345E-19,-9.802097678E-01,-6.938893904E-18, 4.687862992E-01, 7.597967051E-03
        14, 5.421010862E-19,-9.761842489E-01,-3.469446952E-18, 5.115185380E-01, 9.889503941E-03
        15, 2.168404345E-19,-9.721587300E-01,-1.387778781E-17, 5.490745306E-01, 1.234401576E-02
        16, 1.734723476E-18,-9.681332707E-01,-6.938893904E-18, 5.825108886E-01, 1.496182010E-02
        17, 0.000000000E+00,-9.641077518E-01,-6.938893904E-18, 6.126158237E-01, 1.774429157E-02
        18, 4.336808690E-19,-9.600822330E-01,-6.938893904E-18, 6.399388313E-01, 2.069428563E-02
        19, 6.505213035E-19,-9.560567141E-01,-6.938893904E-18, 6.648844481E-01, 2.381568216E-02
        20,-6.505213035E-19,-9.520312548E-01,-1.387778781E-17, 6.877623796E-01, 2.711317129E-02
        21,-6.505213035E-19,-9.480057359E-01,-1.734723476E-17, 7.088185549E-01, 3.059213236E-02
        22, 8.673617380E-19,-9.439802170E-01,-1.734723476E-17, 7.282519341E-01, 3.425833955E-02
        23, 2.168404345E-18,-9.399547577E-01,-1.387778781E-17, 7.462280989E-01, 3.811794519E-02
        24, 1.517883041E-18,-9.359292388E-01,-1.040834086E-17, 7.628866434E-01, 4.217743129E-02
        25,-4.336808690E-19,-9.319037199E-01,-6.938893904E-18, 7.783474922E-01, 4.644348472E-02
        26, 2.168404345E-19,-9.278782010E-01,-1.387778781E-17, 7.927142382E-01, 5.092288181E-02
        27, 1.084202172E-18,-9.238527417E-01,-1.734723476E-17, 8.060779572E-01, 5.562245846E-02
        28, 4.336808690E-19,-9.198272228E-01,-2.081668171E-17, 8.185195327E-01, 6.054917723E-02
        29, 2.602085214E-18,-9.158017039E-01,-2.081668171E-17, 8.301110864E-01, 6.570985913E-02
        30, 1.301042607E-18,-9.117761850E-01,-1.387778781E-17, 8.409169316E-01, 7.111123204E-02
        31, 4.336808690E-19,-9.077507257E-01,-1.387778781E-17, 8.509958386E-01, 7.675996423E-02
        32,-4.336808690E-19,-9.037252069E-01,-2.081668171E-17, 8.604010344E-01, 8.266250789E-02
        33, 1.734723476E-18,-8.996996880E-01,-2.428612866E-17, 8.691806793E-01, 8.882498741E-02
        34, 6.071532166E-18,-8.956742287E-01,-2.081668171E-17, 8.773792982E-01, 9.525321424E-02
        35, 3.469446952E-18,-8.916487098E-01,-1.387778781E-17, 8.850375414E-01, 1.019527689E-01
        36, 3.035766083E-18,-8.876231909E-01,-6.938893904E-18, 8.921929598E-01, 1.089286730E-01
        37,-4.336808690E-19,-8.835976720E-01,-6.938893904E-18, 8.988800049E-01, 1.161854565E-01
        38, 3.035766083E-18,-8.795722127E-01,-3.469446952E-18, 9.051307440E-01, 1.237272471E-01
        39, 3.035766083E-18,-8.755466938E-01,-6.938893904E-18, 9.109749794E-01, 1.315575540E-01
        40, 2.602085214E-18,-8.715211749E-01,-6.938893904E-18, 9.164399505E-01, 1.396792084E-01
        41, 3.469446952E-18,-8.674957156E-01,-6.938893904E-18, 9.215511084E-01, 1.480942369E-01
        42, 6.938893904E-18,-8.634701967E-01,-6.938893904E-18, 9.263324142E-01, 1.568042636E-01
        43, 3.903127821E-18,-8.594446778E-01, 0.000000000E+00, 9.308056831E-01, 1.658097953E-01
        44, 4.770489559E-18,-8.554191589E-01, 0.000000000E+00, 9.349914789E-01, 1.751106381E-01
        45, 3.903127821E-18,-8.513936996E-01, 0.000000000E+00, 9.389088750E-01, 1.847057790E-01
        46, 8.239936511E-18,-8.473681808E-01, 0.000000000E+00, 9.425756931E-01, 1.945933700E-01
        47, 1.214306433E-17,-8.433426619E-01, 3.469446952E-18, 9.460085630E-01, 2.047704756E-01
        48, 8.673617380E-18,-8.393172026E-01, 0.000000000E+00, 9.492228031E-01, 2.152331918E-01
        49, 8.673617380E-18,-8.352916837E-01, 0.000000000E+00, 9.522328377E-01, 2.259768695E-01
        50, 8.673617380E-18,-8.312661648E-01, 0.000000000E+00, 9.550523162E-01, 2.369958311E-01
        51, 1.040834086E-17,-8.272406459E-01, 0.000000000E+00, 9.576934576E-01, 2.482832223E-01
        52, 1.040834086E-17,-8.232151866E-01,-6.938893904E-18, 9.601681828E-01, 2.598313093E-01
        53, 4.336808690E-18,-8.191896677E-01, 0.000000000E+00, 9.624872804E-01, 2.716315091E-01
        54, 1.734723476E-18,-8.151641488E-01, 0.000000000E+00, 9.646608829E-01, 2.836741209E-01
        55, 8.673617380E-19,-8.111386895E-01, 0.000000000E+00, 9.666986465E-01, 2.959484756E-01
        56, 1.734723476E-18,-8.071131706E-01, 0.000000000E+00, 9.686090946E-01, 3.084430695E-01
        57, 8.673617380E-19,-8.030876517E-01, 0.000000000E+00, 9.704009295E-01, 3.211457729E-01
        58, 1.734723476E-18,-7.990621328E-01, 0.000000000E+00, 9.720815420E-01, 3.340432048E-01
        59, 8.673617380E-19,-7.950366735E-01, 0.000000000E+00, 9.736583233E-01, 3.471212685E-01
        60, 1.734723476E-18,-7.910111547E-01, 0.000000000E+00, 9.751377702E-01, 3.603653908E-01
        61, 1.734723476E-18,-7.869856358E-01, 0.000000000E+00, 9.765262604E-01, 3.737600446E-01
        62, 1.734723476E-18,-7.829601765E-01, 0.000000000E+00, 9.778295755E-01, 3.872891665E-01
        63, 2.602085214E-18,-7.789346576E-01, 0.000000000E+00, 9.790533781E-01, 4.009363949E-01
        64, 1.734723476E-18,-7.749091387E-01, 0.000000000E+00, 9.802024961E-01, 4.146846235E-01
        65, 0.000000000E+00,-7.708836198E-01, 0.000000000E+00, 9.812818766E-01, 4.285164177E-01
        66, 0.000000000E+00,-7.668581605E-01, 0.000000000E+00, 9.822958112E-01, 4.424139559E-01
        67, 8.673617380E-19,-7.628326416E-01, 0.000000000E+00, 9.832485318E-01, 4.563594759E-01
        68, 8.673617380E-19,-7.588071227E-01, 0.000000000E+00, 9.841438532E-01, 4.703347087E-01
        69,-8.673617380E-19,-7.547816634E-01,-6.938893904E-18, 9.849853516E-01, 4.843214154E-01
        70,-8.673617380E-19,-7.507561445E-01, 0.000000000E+00, 9.857765436E-01, 4.983015358E-01
        71, 0.000000000E+00,-7.467306256E-01, 0.000000000E+00, 9.865204096E-01, 5.122570992E-01
        72, 8.673617380E-19,-7.427051067E-01, 0.000000000E+00, 9.872200489E-01, 5.261701345E-01
        73, 2.602085214E-18,-7.386796474E-01, 0.000000000E+00, 9.878780842E-01, 5.400228500E-01
        74, 0.000000000E+00,-7.346541286E-01, 0.000000000E+00, 9.884970784E-01, 5.537981987E-01
        75, 8.673617380E-19,-7.306286097E-01, 0.000000000E+00, 9.890795946E-01, 5.674791336E-01
        76, 8.673617380E-19,-7.266030908E-01, 0.000000000E+00, 9.896275997E-01, 5.810490847E-01
        77, 0.000000000E+00,-7.225776315E-01, 0.000000000E+00, 9.901434779E-01, 5.944921970E-01
        78, 2.602085214E-18,-7.185521126E-01, 0.000000000E+00, 9.906290770E-01, 6.077934504E-01
        79,-8.673617380E-19,-7.145265937E-01, 0.000000000E+00, 9.910861254E-01, 6.209379435E-01
        80, 8.673617380E-19,-7.105011344E-01, 0.000000000E+00, 9.915164113E-01, 6.339116096E-01
        81, 8.673617380E-19,-7.064756155E-01, 0.000000000E+00, 9.919216633E-01, 6.467014551E-01
        82, 1.734723476E-18,-7.024500966E-01, 0.000000000E+00, 9.923032522E-01, 6.592947245E-01
        83, 0.000000000E+00,-6.984245777E-01, 0.000000000E+00, 9.926626086E-01, 6.716799140E-01
        84, 2.602085214E-18,-6.943991184E-01, 0.000000000E+00, 9.930010438E-01, 6.838461161E-01
        85, 1.734723476E-18,-6.903735995E-01, 0.000000000E+00, 9.933198690E-01, 6.957834959E-01
        86, 0.000000000E+00,-6.863480806E-01, 0.000000000E+00, 9.936201572E-01, 7.074828148E-01
        87, 0.000000000E+00,-6.823226213E-01, 0.000000000E+00, 9.939030409E-01, 7.189355493E-01
        88, 0.000000000E+00,-6.782971025E-01, 0.000000000E+00, 9.941695333E-01, 7.301348448E-01
