y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.0,0.0,0.0,1.0,0.0,0.0,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
1.371071353273301e-05,0.07110235019829264,0.07110185565654703,0.9999858899371266,-1.120892048566094e-05,-4.717271551396461e-09,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
4.169953934984871e-05,0.2162495221624994,0.2162444005069231,0.9999469147763482,-3.409120844921682e-05,-3.851045470507787e-07,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
8.453381948780869e-05,0.4383836933411095,0.4383546313113363,0.9998185653292307,-6.91104941449223e-05,-6.05574272325033e-06,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0001427808370142447,0.740446735376326,0.7403063177345499,0.9993785912833544,-0.0001167228118251095,-4.477271293683394e-05,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0002170078137750941,1.125380202420942,1.124780601314649,0.998062614991192,-0.000177354521042915,-0.0002117845420306204,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0003077819081407362,1.596125319450033,1.593912181611315,0.9947055589386128,-0.0002513472213090199,-0.000741762465034551,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0004156702127537937,2.155622970581291,2.148568636179321,0.9872936380317612,-0.0003388468831528463,-0.002088000981742419,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0005275290387434239,2.735711337193032,2.717918867902522,0.9748179109346056,-0.0004286940414824093,-0.004579575611199115,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0006433579417870483,3.336388115074059,3.298192924991181,0.9562887308572536,-0.000520315464249062,-0.008564745293001347,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0007631564617923692,3.95765091823304,3.884810062158415,0.9312143085821216,-0.0006130228507725165,-0.01434320407630383,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0008869241228990354,4.599497278907139,4.472661471036921,0.8996593658158216,-0.0007060581921785774,-0.02215514324857428,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001014660433480419,5.261924647571224,5.056451911678452,0.8622016752149116,-0.0007986449067295633,-0.03217941362142877,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001146364886145945,5.944930392949966,5.631040719012941,0.8198167667632708,-0.0008900359093374461,-0.04453677073004848,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001282036957742871,6.648511802027046,6.191734746573503,0.7737284660928244,-0.00097955345584678,-0.0592951430967047,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001421676109358172,7.372666080054942,6.734504325216657,0.7252583950226856,-0.001066616441194334,-0.07647499913440466,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
