y/delta,y^+,u'p',v'p',w'p',nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.0,0.0,5.5161435237307276e-17,0.0,3.6289633570180104e-19,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
1.371071353273301e-05,0.07110235019829264,0.01083623980352462,-6.78285591446637e-05,2.394258909662166e-05,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
4.169953934984871e-05,0.2162495221624994,0.03279666378398838,-0.0006026616889032793,7.283456590232461e-05,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
8.453381948780869e-05,0.4383836933411095,0.06567256251723959,-0.002329675821919569,0.0001477124340408706,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0001427808370142447,0.740446735376326,0.1082096419870689,-0.006121440139396993,0.0002496946433512753,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0002170078137750941,1.125380202420942,0.1576125115053092,-0.01275767698859889,0.000380024488373141,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0003077819081407362,1.596125319450033,0.2094291205077269,-0.02270333411554191,0.0005400556382514084,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0004156702127537937,2.155622970581291,0.2580465246739688,-0.03598351301127142,0.0007310501017923076,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0005275290387434239,2.735711337193032,0.2942914301671873,-0.05041446209530797,0.0009292724581116674,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0006433579417870483,3.336388115074059,0.3186508837123821,-0.06533834107309677,0.001133235913965035,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0007631564617923692,3.95765091823304,0.332669372439343,-0.08028077318895582,0.001340530621232016,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0008869241228990354,4.599497278907139,0.3386163323034075,-0.09489993860082356,0.001548067830804851,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001014660433480419,5.261924647571224,0.3391388963817372,-0.1089418422032141,0.00175260958708154,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001146364886145945,5.944930392949966,0.3369366378737039,-0.1222067499026862,0.001951348982125021,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001282036957742871,6.648511802027046,0.3344918135007527,-0.1345285333931587,0.002142276049268996,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001421676109358172,7.372666080054942,0.3338769244828623,-0.1457658120168525,0.002324254693784077,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001565281786321093,8.117390350568176,0.3366467294865064,-0.1558018572023845,0.00249690118552222,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001712853418205151,8.882681655393672,0.3438083044285569,-0.1645494402611247,0.002660355992423051,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.001864390418830353,9.668536954662272,0.3558532433098044,-0.1719570172759421,0.002814991375635857,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002019892186265637,10.47495312682141,0.3728317604529829,-0.1780135111728477,0.002961119843012207,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002179358102831097,11.30192696864662,0.3944487904043546,-0.1827500866347176,0.003098819712977827,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002342787535100643,12.14945519525534,0.4201653825113185,-0.1862383963808749,0.003227942118827784,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002510179833904336,13.01753444011904,0.4492930018371384,-0.1885856125053101,0.003348245404182201,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002681534334331159,13.90616125507758,0.4810731038650324,-0.1899270790727152,0.00345957760863354,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.002856850355731466,14.81533211035189,0.5147389743535818,-0.1904176289161959,0.003562043874773086,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003036127201719752,15.74504339455838,0.5495602137893064,-0.1902225573872708,0.00365611535580847,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.003219364160177429,16.69529141472329,0.5848717538164151,-0.1895090513879814,0.003742602078930634,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
