y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.0,0.0,0.0,1.0,0.0,0.0,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
4.814781378392752e-05,0.004473535515368329,0.004473535515307076,0.9999999999186288,1.548034454535846e-07,-6.840038209023699e-14,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0002407066139520353,0.0223646621034731,0.02236466203545894,0.9999999877392162,7.739129113089946e-07,-4.2495681558089825e-11,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0006738422300787139,0.06260839093421923,0.06260838667370625,0.9999997268867222,2.166518247069098e-06,-2.5781288149188832e-09,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.001443558326269967,0.1341246659724782,0.1341245753607599,0.9999972887729,4.641283932043253e-06,-5.3127971600575045e-08,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.002645631688031891,0.2458123513168804,0.2458113194396926,0.9999831303772672,8.506078020542344e-06,-5.792636514843281e-07,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.004375547662071155,0.4065432327479079,0.4065354231473301,0.9999226294586532,1.406734778928587e-05,-4.12679844428063e-06,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.006728435792545118,0.6251560375286207,0.6251117517394423,0.9997139525587913,2.162806979539397e-05,-2.159725716771177e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.009750857883363828,0.9059769409737694,0.9057785083829588,0.9991137219954868,3.132703382142604e-05,-8.757240684524359e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.01344077661230325,1.248816650307437,1.248089077742576,0.9976410932692464,4.312622321390846e-05,-0.0002856771169767795,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.01779570471808556,1.653444067774858,1.651179349783247,0.9944662704943636,5.694405476776582e-05,-0.0007804945405090631,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.02281270667696611,2.119586446418365,2.113425823857622,0.988330568490262,7.262583997411915e-05,-0.001845912718344233,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.02848840068147995,2.646929573927749,2.631966370914787,0.9775643549881043,8.991054415038638e-05,-0.003878280844506099,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.03481896092001469,3.235117984441154,3.202151086281827,0.960268329984122,0.0001083976179822951,-0.007386563041896092,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.04180012015567314,3.883755198153751,3.81707551694901,0.9346701947551362,0.0001275137213519528,-0.01295939950339204,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.04942717260268714,4.592403988572638,4.467398268265264,0.8995754981803211,0.0001464824741272375,-0.02121656036460725,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0576949770984434,5.360586677237812,5.141607119405126,0.8547559641142725,0.0001643197795064365,-0.03275603987431827,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.06659796056898437,6.187785455710644,5.826766319802442,0.8011209128214821,0.0001798963624122551,-0.04810672650335385,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.07613012178564638,7.073442734612656,6.509610300459609,0.7406032746140386,0.0001920933826328298,-0.06769175671401705,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0862850354103043,8.016961519479471,7.177729840701838,0.675807660117797,0.0002000126923134653,-0.09180254048788528,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.09705585632649548,9.017705813176516,7.820579703977931,0.609548796745304,0.0002031340380817098,-0.1205808978388677,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.108435324253503,10.0750010446052,8.430117404555084,0.5444227065562594,0.0002013124686051819,-0.1540075301844473,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.1204157686402891,11.18813452341071,9.001011917378431,0.482510396993871,0.0001945862464305209,-0.1918975999012917,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.1329891138359783,12.35635592038466,9.530479710722012,0.4252477569050086,0.0001828435719603157,-0.2339059849045933,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.146146884533407,13.57887777323914,10.01787459684622,0.3734387656471032,0.0001654562158648712,-0.2795442389229641,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.159880211482068,14.85487601741089,10.46417020439837,0.3273598252388745,0.0001410380642800645,-0.3282088327863716,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.1741798374666018,16.18349054153805,10.87144605285778,0.286900988083756,0.0001074914312707707,-0.3792175947322854,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.189036123546801,17.56382576723481,11.24244484798768,0.2517043337165532,6.247818118626263e-05,-0.4318497071100613,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2044390555549258,18.99495125277351,11.58022906997567,0.2212783748776401,4.327884082325698e-06,-0.4853843664361783,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2203782508459474,20.47590232026682,11.8879374819304,0.1950814688223443,-6.694123371916397e-05,-0.5391341214511248,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2368429652961714,22.00568070592766,12.1686263969101,0.172575569334265,-0.0001492917586647539,-0.5924705637625418,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.253822100545523,23.58325523296822,12.42517511506499,0.1532572113241309,-0.0002393973600757073,-0.6448415563422154,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2713042114786114,25.2075625066847,12.66023788475433,0.1366739044470831,-0.0003335070570233471,-0.695780400044685,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2892775139395317,26.87750763125906,12.87622870895101,0.1224303092331818,-0.0004277636322445362,-0.7449084015976436,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3077298926752047,28.59196494779491,13.07532579719407,0.1101862489673051,-0.0005186632186724793,-0.7919324032412816,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.326648909501897,30.34977879308962,13.25948409913654,0.09965020241020998,-0.0006042378512493932,-0.836638404027697,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3460218116894204,32.14976427863149,13.43044992026486,0.09057254365117494,-0.0006842354370365776,-0.8788825874141499,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3658355405573572,33.99070808929695,13.58977676568553,0.08274017586990873,-0.0007583698863611638,-0.9185814666629576,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3860767402775169,35.87136930120902,13.73884280717478,0.0759723061962531,-0.0008252423266188127,-0.9557020740204976,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4067317668766912,37.79048021820623,13.87886947698379,0.07011607758975658,-0.0008835199314064202,-0.9902525529020269,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4277866974336383,39.74674722635767,14.01093809227713,0.06504108277043534,-0.000933063312225646,-1.022273677365919,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4492273394640984,41.73885166594866,14.13600243665517,0.06063484174273171,-0.0009754532979718496,-1.051831374028627,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4710392404875134,43.76545072034889,14.25489979837634,0.05680081746461832,-0.001014786868846211,-1.079010487615338,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4932076977690006,45.82517832116393,14.36836428484151,0.05345811362104227,-0.001057107412203712,-1.103911401317754,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5157177682300171,47.91664606906022,14.47704119192027,0.05053848163966652,-0.001108715029641868,-1.126647074489941,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5385542785210315,50.03844416964252,14.58149646723512,0.04798293413744938,-0.001174885998274635,-1.147338901614988,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5617018352494142,52.18914238375312,14.68222586870695,0.04574213928716016,-0.001259561839950702,-1.166112869512818,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5851448353556523,54.36729099155238,14.77966587316904,0.04377478672367633,-0.001365564336005207,-1.18309557606637,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6088674766308949,56.57142176973044,14.8742004889059,0.04204484962525366,-0.001494163564121445,-1.198410750705823,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6328537683687377,58.8000489811916,14.96616651242187,0.04052155853363775,-0.001644300515883211,-1.212176989550822,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6570875421440694,61.05167037654428,15.05586013585994,0.03917911285121699,-0.001812279681992511,-1.224506069718844,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6815524627117115,63.32476820672129,15.14354277415341,0.03799572874056809,-0.001991583795845443,-1.235503103347389,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.706232039017508,65.61781024604807,15.22944651870728,0.03695352970141518,-0.002174268857400772,-1.245266956393748,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.7311096353144395,67.9292508250691,15.31377968510335,0.03603783202504821,-0.002354622747801181,-1.253889683623216,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.7561684823762714,70.2575318724364,15.39673038412831,0.03523598818438667,-0.002530126584190663,-1.261456542845014,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.7813916888011762,72.60108396515768,15.47846887064791,0.03453718427491877,-0.002699562157788964,-1.268046483965926,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.80676225239771,74.95832738649642,15.55915070563738,0.03393294900768946,-0.002861501713001662,-1.273731065815127,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.8322630716454701,77.32767319081047,15.63892100245914,0.03341703090426087,-0.003013032274642375,-1.278573326981078,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.8578769572227056,79.70752427461179,15.71791740792859,0.03298449332124696,-0.003150254625694968,-1.282627501857152,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.8835866435931137,82.09627645312491,15.79627179868088,0.03263145089243348,-0.003269958529965989,-1.285939019542232,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.9093748006440092,84.49231954161895,15.87411133821404,0.03235446338080303,-0.0033700587655263,-1.288544586008955,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.9352240453680228,86.89403844078367,15.9515580262645,0.03215020478013132,-0.003448948590079673,-1.290473024690937,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.9611169535804548,89.29981422541864,16.02872905502877,0.03201614512977757,-0.003504389097926042,-1.291746370776474,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.9870360716643836,91.70802523570104,16.105737701945,0.03195006634726091,-0.003533210785595654,-1.292379463570976,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0,0.0,0.0,1.0,0.0,0.0,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
