y/delta,y^+,u'u',v'v',w'w',u'v',u'w',v'w',k,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.0,0.0,0.0,0.0,1.4250681502273108e-35,0.0,8.830598195587062e-40,0.0,7.125340751136554e-36,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
4.814781378392752e-05,0.004473535515368329,3.452611444956582e-06,6.840038209023699e-14,1.528712259208198e-06,-9.9532744066884e-11,6.245784293237838e-10,-1.2720383699233191e-14,2.490661886282581e-06,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0002407066139520353,0.0223646621034731,8.625131728007466e-05,4.2495681558089825e-11,3.803384950528658e-05,-1.245808098267655e-08,1.562230655793198e-08,-1.597232231372543e-12,6.214260464052141e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0006738422300787139,0.06260839093421923,0.0006752324205353793,2.5781288149188832e-09,0.0002950253711321387,-2.743622344003175e-07,1.22642665303487e-07,-3.541362789199937e-11,0.0004851301848981665,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.001443558326269967,0.1341246659724782,0.00309335987333786,5.3127971600575045e-08,0.001329568400713477,-2.715371143575455e-06,5.645820822541699e-07,-3.541642113154068e-10,0.002211490701011469,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.002645631688031891,0.2458123513168804,0.01036303288622631,5.792636514843281e-07,0.004341326185311131,-1.688225416984767e-05,1.905147009235759e-06,-2.229161927038877e-09,0.007352469167594463,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.004375547662071155,0.4065432327479079,0.02824937682918445,4.12679844428063e-06,0.01140570045064905,-7.74055884228931e-05,5.243529017038573e-06,-1.032508696935821e-08,0.01982960203913889,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.006728435792545118,0.6251560375286207,0.06652231777644263,2.159725716771177e-05,0.02554951025863315,-0.0002861301381201514,1.249127136133694e-05,-3.8268753150725656e-08,0.04604671264612175,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.009750857883363828,0.9059769409737694,0.1390310153354294,8.757240684524359e-05,0.0501104885797821,-0.000886450719187461,2.643500144039724e-05,-1.173678324200017e-07,0.09461453816102838,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.01344077661230325,1.248816650307437,0.2626122228076375,0.0002856771169767795,0.08771684407849044,-0.002359235424691832,5.053185569055973e-05,-3.043887965444988e-07,0.1753073720015524,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.01779570471808556,1.653444067774858,0.4567041871396125,0.0007804945405090631,0.1398641706686197,-0.005534307605235309,8.874214312222033e-05,-6.850721692884256e-07,0.2986744261743706,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.02281270667696611,2.119586446418365,0.7415457472861074,0.001845912718344233,0.2065979160339582,-0.01167038255165016,0.0001449771292507039,-1.369496400264711e-06,0.4749947880192049,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.02848840068147995,2.646929573927749,1.134727861231483,0.003878280844506099,0.2865177966815579,-0.02243712362737387,0.0002221943051248874,-2.48230754972321e-06,0.7125619693787733,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.03481896092001469,3.235117984441154,1.646074650849058,0.007386563041896092,0.3770950110270055,-0.03973385941516697,0.0003213539536938484,-4.156467517606106e-06,1.01527811245898,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.04180012015567314,3.883755198153751,2.27210043937033,0.01295939950339204,0.4752105208559116,-0.06533290673158283,0.0004406520293650386,-6.531858974067411e-06,1.380135179864817,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.04942717260268714,4.592403988572638,2.992475369289195,0.02121656036460725,0.5777520631050801,-0.1004287182536288,0.0005753905609012375,-9.738219948445434e-06,1.795721996379441,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0576949770984434,5.360586677237812,3.770824310311623,0.03275603987431827,0.6820891156793848,-0.1452495618334404,0.0007185592926647306,-1.383711472019145e-05,2.242834732932663,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.06659796056898437,6.187785455710644,4.560388500090993,0.04810672650335385,0.7863011587536615,-0.198886115319696,0.0008617575958089357,-1.87368475680887e-05,2.697398192674004,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.07613012178564638,7.073442734612656,5.312696481256239,0.06769175671401705,0.8891416276082428,-0.2594054613599082,0.0009958458866785988,-2.414782105287812e-05,3.13476493278925,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0862850354103043,8.016961519479471,5.986078943385003,0.09180254048788528,0.9898209464186972,-0.3242030099323246,0.001111021824190079,-2.964492337424125e-05,3.533851215145793,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.09705585632649548,9.017705813176516,6.551347633405676,0.1205808978388677,1.087738597106308,-0.3904640425732555,0.001196787788563773,-3.482010587020823e-05,3.879833564175426,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.108435324253503,10.0750010446052,6.993612918633828,0.1540075301844473,1.182276803682305,-0.4555925025276198,0.001242940362008456,-3.943455011778114e-05,4.164948626250291,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.1204157686402891,11.18813452341071,7.310849205816922,0.1918975999012917,1.272712000323752,-0.517507256011927,0.001241853501185977,-4.351340807255954e-05,4.387729403020983,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.1329891138359783,12.35635592038466,7.510645606733584,0.2339059849045933,1.358238872922323,-0.5747721903418799,0.001190714563418751,-4.737925317369571e-05,4.55139523228025,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.146146884533407,13.57887777323914,7.60654721957747,0.2795442389229641,1.438060590314188,-0.6265831197370698,0.001092798347346813,-5.158798251365657e-05,4.662076024407312,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.159880211482068,14.85487601741089,7.614897283954989,0.3282088327863716,1.511490427043875,-0.6726636379744939,0.0009580398732151724,-5.675435805170859e-05,4.727298271892618,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.1741798374666018,16.18349054153805,7.552544693186893,0.3792175947322854,1.578028232804289,-0.713123892433684,0.0008024033182142783,-6.330210287870406e-05,4.754895260361733,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.189036123546801,17.56382576723481,7.435404488557755,0.4318497071100613,1.637399371375091,-0.7483219151781155,0.0006444089847696639,-7.11255404600954e-05,4.752326783521454,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2044390555549258,18.99495125277351,7.277681960876691,0.4853843664361783,1.689559306904205,-0.7787490459094211,0.0005002948624231635,-7.93022252105901e-05,4.726312817108537,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2203782508459474,20.47590232026682,7.091546459448804,0.5391341214511248,1.734671330678713,-0.8049467944033213,0.0003794632208708657,-8.633841544046973e-05,4.682675955789321,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2368429652961714,22.00568070592766,6.88709488158496,0.5924705637625418,1.773066769831476,-0.8274533053877892,0.0002832092149791064,-9.111546570382428e-05,4.626316107589489,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.253822100545523,23.58325523296822,6.672486148285023,0.6448415563422154,1.805197980492232,-0.8467721753448473,0.0002098669669135807,-9.347572080236428e-05,4.561262842559735,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2713042114786114,25.2075625066847,6.454150696666738,0.695780400044685,1.831591014944528,-0.8633558289902211,0.0001595481744138079,-9.366922872938863e-05,4.490761055827976,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2892775139395317,26.87750763125906,6.237022013079669,0.7449084015976436,1.852802551339494,-0.877599222543145,0.0001321657821288667,-9.182946267729972e-05,4.417366483008403,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3077298926752047,28.59196494779491,6.024776688569626,0.7919324032412816,1.869387462988669,-0.8898421095001176,0.0001255007822782545,-8.856649910019481e-05,4.343048277399788,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.326648909501897,30.34977879308962,5.820066159034,0.836638404027697,1.881880373022876,-0.9003760304966141,0.0001378090707452358,-8.521783295750174e-05,4.269292468042287,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3460218116894204,32.14976427863149,5.624722247517802,0.8788825874141499,1.890784766712907,-0.909450920365296,0.0001699423030786619,-8.22786441461671e-05,4.197194800822429,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3658355405573572,33.99070808929695,5.439932036734932,0.9185814666629576,1.896568331174824,-0.9172799276051204,0.0002216594218446618,-7.906202035837689e-05,4.127540917286357,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3860767402775169,35.87136930120902,5.2663742410076,0.9557020740204976,1.899665167901536,-0.9240437817586156,0.0002872236191182936,-7.53160372571419e-05,4.060870741464817,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4067317668766912,37.79048021820623,5.104328488454497,0.9902525529020269,1.900478951366431,-0.9298955326687766,0.0003580114358980767,-7.169629812453855e-05,3.997529996361478,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4277866974336383,39.74674722635767,4.95377870119948,1.022273677365919,1.899378268992588,-0.9349660565083276,0.0004231925643095616,-6.846527384160392e-05,3.937715323778994,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4492273394640984,41.73885166594866,4.814505289721201,1.051831374028627,1.896694727694149,-0.939367900095532,0.0004706264916241329,-6.626178581320356e-05,3.881515695721989,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4710392404875134,43.76545072034889,4.686144859215475,1.079010487615338,1.892727397773115,-0.9431970819618868,0.0004913475994349839,-6.656988964075743e-05,3.828941372301964,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4932076977690006,45.82517832116393,4.568217209626757,1.103911401317754,1.887735761305653,-0.9465345234625858,0.0004837675330181634,-7.039272212734765e-05,3.779932186125082,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5157177682300171,47.91664606906022,4.460166117530933,1.126647074489941,1.881939071365429,-0.9494483949725908,0.0004518513539291464,-7.737401720316432e-05,3.734376131693151,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5385542785210315,50.03844416964252,4.361397092833918,1.147338901614988,1.875528752431868,-0.9519977899071465,0.000399111424249689,-8.636088598916232e-05,3.692132373440386,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5617018352494142,52.18914238375312,4.271292291715391,1.166112869512818,1.868678101858274,-0.954232579005538,0.0003295536203400751,-9.645558170571592e-05,3.653041631543242,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5851448353556523,54.36729099155238,4.189244836627499,1.18309557606637,1.861547058874134,-0.956194637212656,0.0002470196373137132,-0.0001069595719925592,3.616943735784001,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6088674766308949,56.57142176973044,4.114685105238567,1.198410750705823,1.854280391551363,-0.9579198953901886,0.0001493783296905121,-0.0001163881581290417,3.583688123747876,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6328537683687377,58.8000489811916,4.047085088314227,1.212176989550822,1.847005785641365,-0.9594386998326504,3.537212150194512e-05,-0.0001233000098913297,3.553133931753207,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6570875421440694,61.05167037654428,3.98596457812246,1.224506069718844,1.839831527798873,-0.9607761420758212,-8.584585729227648e-05,-0.0001273716097350338,3.525151087820089,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6815524627117115,63.32476820672129,3.930889198022488,1.235503103347389,1.832846452834371,-0.9619544513221374,-0.0002035931179290953,-0.0001283853947016104,3.499619377102124,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.706232039017508,65.61781024604807,3.881460259985982,1.245266956393748,1.826125521453688,-0.962992594334214,-0.0003104465804107194,-0.0001262951921876868,3.476426368916709,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.7311096353144395,67.9292508250691,3.837311977628726,1.253889683623216,1.819735376183593,-0.9639052745798936,-0.0003935445993508191,-0.0001219211497471516,3.455468518717767,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.7561684823762714,70.2575318724364,3.798113058344771,1.261456542845014,1.813728864478291,-0.9647043824614372,-0.0004438538769282056,-0.0001163441115431029,3.436649232834038,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.7813916888011762,72.60108396515768,3.763580459093296,1.268046483965926,1.808137771945098,-0.9654005855667788,-0.0004680673933207624,-0.0001102695130604097,3.41988235750216,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.80676225239771,74.95832738649642,3.733471361063664,1.273731065815127,1.8029957050892,-0.966002379564492,-0.0004783591492782424,-0.00010335370198671,3.405099065983995,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.8322630716454701,77.32767319081047,3.70756977233536,1.278573326981078,1.798360210233707,-0.9665153719471222,-0.0004758930094677659,-9.459444545632762e-05,3.392251654775072,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.8578769572227056,79.70752427461179,3.685683827971809,1.282627501857152,1.794300123454173,-0.9669444887725616,-0.0004559619600618494,-8.387584222253602e-05,3.381305726641567,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.8835866435931137,82.09627645312491,3.667647131195192,1.285939019542232,1.7908717793107,-0.967294266050124,-0.0004169870977773357,-7.162613684373164e-05,3.372228965024061,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.9093748006440092,84.49231954161895,3.653336831595423,1.288544586008955,1.78810909066503,-0.9675691593954824,-0.0003577317209452361,-5.790917978304275e-05,3.364995254134704,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.9352240453680228,86.89403844078367,3.642675935753324,1.290473024690937,1.78603094479625,-0.9677732355691891,-0.0002766531990656965,-4.272725305035718e-05,3.359589952620256,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.9611169535804548,89.29981422541864,3.635606588496513,1.291746370776474,1.784647841624547,-0.967908369505794,-0.0001756627995731383,-2.620074225725733e-05,3.356000400448767,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.9870360716643836,91.70802523570104,3.632082397594192,1.292379463570976,1.783959654523608,-0.9679754580081366,-6.040700791891307e-05,-8.768417630420102e-06,3.354210757844388,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0,0.0,0.0,0.0,1.1178484579632019e-35,0.0,2.2668294712354368e-39,0.0,5.5892422898160093e-36,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
2.059765673623204e-05,0.004520751555384802,3.941949734025412e-06,7.403340326338146e-14,1.698965619540287e-06,-1.013506014778504e-10,-4.0039819746432196e-10,-7.03319978949597e-15,2.820457713799551e-06,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.0001029823439926414,0.02260245414047382,9.849405364452972e-05,4.6000370517103006e-11,4.227744592772591e-05,-1.2690851956173251e-08,-1.0011310432942381e-08,-8.799754776689723e-13,7.038577278631306e-05,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.000288325618200469,0.06328139669617082,0.0007713089806315964,2.7907718447313252e-09,0.0003280391566067215,-2.796971577481122e-07,-7.85176611368731e-08,-1.934786441798517e-11,0.0005496754640050813,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.000617769345912289,0.1355873518607302,0.003535010264509403,5.749781223627129e-08,0.001478967256655156,-2.77135266686621e-06,-3.607602756280038e-07,-1.9061092983671148e-10,0.002507017509488398,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.001132413839837088,0.2485409720794912,0.01184919486320169,6.265772245774422e-07,0.004831873549253103,-1.725792994520476e-05,-1.21326589115436e-06,-1.173211689612665e-09,0.008340847494839687,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.001873306006858533,0.4111511883446703,0.03232261768327744,4.459720800207398e-06,0.01270385360136233,-7.929038512024296e-05,-3.320973113858995e-06,-5.277959896463453e-09,0.02251546550271999,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.002881427511453483,0.6324126123151812,0.07617344367794299,2.330669301823248e-05,0.02848417583310277,-0.0002937992513659617,-7.84482154558568e-06,-1.890228621221895e-08,0.05234046310203199,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.004177085301188321,0.9167821910103596,0.1593346836353935,9.432575200853136e-05,0.05593233645346202,-0.0009124901704620004,-1.640332746139913e-05,-5.5965599466915015e-08,0.1076806729204321,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.005759905750861605,1.264177921572687,0.301208914015113,0.0003070057516818597,0.09805247674593746,-0.002434057401762234,-3.086543224694061e-05,-1.410284499993656e-07,0.1997841982563661,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.007629432426981109,1.674499626470013,0.5241853962453841,0.0008365852156742871,0.1566300008540714,-0.005719303918291593,-5.318371555386414e-05,-3.133213895095398e-07,0.3408259911575649,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.009785126219384543,2.147628982383531,0.8514721042336846,0.001972965933604136,0.2318804254486838,-0.01206917969026356,-8.508919146162345e-05,-6.33543145144677e-07,0.5426627478079863,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.0122263654967012,2.683429554328328,1.303005461933895,0.0041329096444061,0.3224467725315578,-0.02319463621791858,-0.0001277702910858703,-1.192800027989866e-06,0.8147925720549294,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.01495244628560999,3.281746834996754,1.889535691901596,0.007847839464310093,0.4257287876909138,-0.04101431809805894,-0.0001816678665633158,-2.112578205740683e-06,1.16155615952841,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.01796258247384253,3.942408289313313,2.606465521033973,0.01372799650753634,0.5384380453813883,-0.06727950922406274,-0.0002464409821623626,-3.518119762434127e-06,1.579315781461449,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.02125590603687155,4.665223404187998,3.430220047181976,0.02241146323815445,0.6572053981350438,-0.1031221857697597,-0.0003210290957983849,-5.4854644790193e-06,2.054918454277587,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.02483146728822128,5.449983743454135,4.319559284040511,0.03450985528357671,0.7790608469158457,-0.1486871070174902,-0.0004037920593303737,-7.997681903717081e-06,2.566564993119966,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.02868823515332564,6.296463007974501,5.222136306918828,0.05056039921215626,0.9016722978165326,-0.2029909073497421,-0.00049280677561732,-1.094546805327249e-05,3.087184501973759,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.03282509746685636,7.204417100898564,6.084102794631077,0.07098882102974546,1.023335283875681,-0.2640590765475416,-0.0005861690335418746,-1.415839930827944e-05,3.589213449768252,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.03724086129343462,8.17358419805194,6.85934376096514,0.09608254709444904,1.142796593784926,-0.3292829943397482,-0.0006819451369516076,-1.74297300306978e-05,4.049111450922258,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.04193425327163525,9.203684823438048,7.515563751640848,0.1259718064595618,1.259032467764803,-0.3958705464480653,-0.0007778256513064191,-2.053394412689297e-05,4.450284012932607,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.04690391998118171,10.2944219298297,8.03620929866348,0.1606174875470142,1.371081771663251,-0.4612574240718647,-0.000871164613518301,-2.32673026710356e-05,4.783954278936872,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.05214842833322808,11.44548098442774,8.418897881249896,0.1998070575477114,1.477980165424615,-0.5233888187022824,-0.0009599078169383328,-2.54986455459386e-05,5.048342552111111,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.05766626598361557,12.65653005956216,8.671878069140375,0.2431611515072954,1.578785855697517,-0.5808425490699168,-0.001043825498773128,-2.716919139425934e-05,5.246912538172594,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.06345584176898234,13.927219928409,8.810023853105056,0.2901525266466062,1.672655216448153,-0.6328162664657492,-0.001124946985011259,-2.823395991522741e-05,5.386415798099907,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.06951548616560277,15.25718416569592,8.851351675162949,0.3401365693547136,1.758922694532517,-0.6790276714662,-0.001207065328655445,-2.860815111869089e-05,5.47520546952509,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.07584345177082374,16.64603925336729,8.814467743523196,0.392389889781528,1.837154463015373,-0.719578199698994,-0.001294650541373195,-2.824838208182345e-05,5.522006048160048,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.08243791380695809,18.09338469117819,8.716949515073825,0.4461519142532544,1.9071656219585,-0.7548181139046157,-0.001390978003187823,-2.734350449456161e-05,5.53513352564279,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.08929697064749043,19.59880311218551,8.574475318508439,0.5006644287029028,1.969005954631003,-0.7852344309306147,-0.001496680307587022,-2.635728995451743e-05,5.522072850921172,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.09641864436544412,21.16186040310295,8.400472892435639,0.5552054472588738,2.022924173017163,-0.811368623737215,-0.001610807252465184,-2.568555335513125e-05,5.489301256355838,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1038008813037503,22.78210582948498,8.20608818355377,0.6091152964411134,2.069319950005649,-0.8337622112490263,-0.001732364778257513,-2.530451060714119e-05,5.442261715000266,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1114415526674554,24.45907216570389,8.000326846914227,0.6618141389186443,2.108694209660865,-0.852924352709198,-0.001859719678099971,-2.483425166385944e-05,5.385417597746867,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
