y/delta,y^+,u'p',v'p',w'p',nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.0,0.0,3.1683161630316183e-20,0.0,-7.869372831097261e-22,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
4.814781378392752e-05,0.004473535515368329,0.0005994740468436977,-2.433399726071673e-07,-6.192199875771263e-08,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0002407066139520353,0.0223646621034731,0.002996292318818481,-6.051973466141986e-06,-3.099014783445408e-07,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.0006738422300787139,0.06260839093421923,0.008381674355816847,-4.690567017165168e-05,-8.692155252169411e-07,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.001443558326269967,0.1341246659724782,0.01791948605932208,-0.0002110716329704049,-1.866441451800336e-06,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.002645631688031891,0.2458123513168804,0.03268908545840898,-0.0006875343334651952,-3.429292637011807e-06,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.004375547662071155,0.4065432327479079,0.05356074949212281,-0.001799692582564278,-5.688915624248208e-06,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.006728435792545118,0.6251560375286207,0.08096681938155262,-0.004010140213902222,-8.781103199300237e-06,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.009750857883363828,0.9059769409737694,0.1140591253182578,-0.007809663468064799,-1.277635256185459e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.01344077661230325,1.248816650307437,0.1506409849326845,-0.01355199430279555,-1.766838264413833e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.01779570471808556,1.653444067774858,0.1878624957768188,-0.02139435044516296,-2.343883719305198e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.02281270667696611,2.119586446418365,0.2225554569315365,-0.0312674509497408,-3.009026710956094e-05,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
