TSNE1,TSNE2,TSNE3,k
-0.98254603,9.475084,-1.1873308,5.388762578694872
-0.92275274,9.530978,-1.176277,5.355880850412405
-0.849982,9.594561,-1.1646569,5.324218433123807
-0.76173264,9.669934,-1.152198,5.293808996565183
-0.66467166,9.755975,-1.1381904,5.26466603641912
-0.5376395,9.861717,-1.1213819,5.236786733991963
-0.39732006,9.9780655,-1.1023828,5.210155263542733
-0.256412,10.099855,-1.0828758,5.184745644471253
-0.11627337,10.224557,-1.0626621,5.160524021991857
0.016220286,10.350325,-1.0415463,5.137450412819171
0.14913692,10.479906,-1.0172592,5.115480495143228
0.27601328,10.6119,-0.9923,5.094567337003299
0.39255396,10.743055,-0.96873796,5.074662520573436
0.5124527,10.884038,-0.9407147,5.055716840144084
0.63020504,11.022627,-0.91056705,5.037680890161369
0.72093004,11.153145,-0.8842865,5.020505611028002
0.8193077,11.295627,-0.8541399,5.004142782476452
0.91413665,11.442988,-0.8214524,4.98854542738449
1.0016234,11.592448,-0.7871652,4.973667968232499
1.0847452,11.737984,-0.75195086,4.959466313927388
1.1453682,11.8863125,-0.71558976,4.945898214813192
1.2060722,12.03501,-0.6770827,4.932923589412445
1.2625412,12.183215,-0.6359657,4.92050438279654
1.299318,12.323314,-0.5989256,4.90860457717856
1.3321462,12.465648,-0.5567327,4.897190321918504
1.358047,12.616658,-0.5113602,4.886229844213387
1.3710955,12.764039,-0.46431726,4.875693315125227
1.3884938,12.910578,-0.4183638,4.865552688198935
1.4022496,13.055166,-0.36946517,4.855781552164761
1.3761407,13.19326,-0.32131493,4.846355087280454
1.34661,13.319108,-0.27313903,4.837250106541834
1.339776,13.467184,-0.22305968,4.828444964526849
1.3134458,13.60508,-0.17176163,4.819919255734739
1.2788239,13.739133,-0.11981965,4.811653498471959
1.2421767,13.861469,-0.06971929,4.803629182799159
1.1881608,13.987043,-0.02019526,4.795828954722654
1.1331537,14.107425,0.03235327,4.788236619677916
1.0750055,14.235992,0.084777996,4.780836853038467
1.0032009,14.351148,0.14098728,4.773615263286462
0.9292075,14.466176,0.19526754,4.766558720993864
0.8515977,14.581899,0.24844834,4.759655306238831
0.7775191,14.69656,0.30534697,4.752893933049299
0.68256307,14.795439,0.35599476,4.746264187497081
0.5857728,14.897476,0.4096765,4.739756207922178
0.48005074,14.995354,0.46554953,4.733360589381586
0.37614077,15.094204,0.52023613,4.727068462194279
0.26862654,15.194474,0.57784057,4.720871530691989
0.15629694,15.279931,0.63346016,4.714762116812772
